Metallica,Master Of Puppets,0.000562,0.253012,0.95946,0.127319,0.1092125,0,0.066188,0.53095,0.370233
Iron Maiden,Hallowed Be Thy Name,0.007468,0.362076,0.889324,0.440123,0.07239999999999999,0,0.05716,0.5317333333333334,0.363468
Megadeth,Holy Wars...The Punishment Due,0.002927,0.339346,0.887519,0.295703,0.04888125,1,0.069806,0.5838111111111111,0.314423
Metallica,One,0.004046,0.292619,0.622436,0.974616,-0.0005687500000000068,1,0.05575,0.43869444444444444,0.298985
Iron Maiden,The Trooper,0.021478,0.288059,0.856508,0.71255,0.0826875,0,0.06412,0.7884333333333333,0.694967
Black Sabbath,Iron Man,0.000467,0.263608,0.793208,0.103755,0.0745375,0,0.163396,0.7006055555555556,0.597437
Black Sabbath,Paranoid,0.098915,0.297179,0.866577,0.959435,0.06389375,1,0.067704,0.39381666666666665,0.364896
Metallica,Enter Sandman,0.005506,0.219601,0.949831,0.193506,0.07785625,0,0.13242,0.4736666666666667,0.230855
Judas Priest,Painkiller,0.000175,0.421849,0.965453,0.388942,0.0730625,0,0.115787,0.4619388888888889,0.085167
System of a Down,Chop Suey!,0.000353,0.420005,0.929286,0.122167,0.10063124999999999,0,0.121273,0.5955777777777778,0.318239
Cannibal Corpse,Unleashing the Bloodthirsty,0.000117,0.267255,0.997503,0.402331,0.08250625,1,0.249281,0.6056277777777778,0.037202
Anthrax,Burst,0.018809,0.285757,0.961916,0.446308,0.08324374999999999,1,0.158283,0.43177222222222217,0.153966
Slayer,Angel Of Death,6.8e-05,0.263151,0.996981,0.099687,0.10469375,0,0.156346,0.39045,0.07586
Black Sabbath,War Pigs,0.03669,0.305479,0.576967,0.203834,0.07716875000000001,1,0.11506,0.8621277777777777,0.403454
Metallica,Fade To Black,0.047705,0.263036,0.72456,0.100775,0.052637500000000004,1,0.064384,0.5194555555555556,0.448332
Dio,Holy Diver,0.131662,0.441124,0.880896,0.400268,0.08386875,0,0.08831,0.38031666666666664,0.509771
Pantera,Cowboys From Hell,0.000173,0.281058,0.96151,0.974215,0.07840625,0,0.112445,0.5060611111111111,0.223998
Ozzy Osbourne,Crazy Train,0.014464,0.471303,0.91677,0.323439,0.10264999999999999,1,0.054926,0.653388888888889,0.59364
Pantera,Cemetery Gates,0.000299,0.256149,0.855365,0.122585,0.08150625,1,0.057969,0.6973111111111111,0.395043
Metallica,The Four Horsemen,0.002396,0.228279,0.953437,0.124573,0.08866875,1,0.348481,1.0117555555555557,0.33575
Moby,Go,0.00028,0.615812,0.736991,0.062403,0.0657375,0,0.047279,0.6334888888888889,0.657971
Azzido Da Bass,Dooms Night,0.006328,0.837346,0.813426,0.150037,0.0820625,1,0.137429,0.6224555555555555,0.157218
Daft Punk,Get Lucky,0.060375,0.804968,0.850349,0.104369,0.0796125,0,0.039046,0.5335777777777777,0.832069
Underworld,Shudder / King Of Snake (Live),0.00097,0.518071,0.973384,0.680424,0.070325,0,0.0952,0.6666500000000001,0.138024
Phuture,Acid Tracks,0.010288,0.789773,0.891927,0.095836,0.03879375,1,0.066381,0.5866944444444445,0.598885
Justice,Waters Of Nazareth,0.031728,0.324144,0.993385,0.71048,0.11153125,1,0.369784,0.6220388888888889,0.045484
The Chemical Brothers,Block Rockin' Beats,0.010201,0.616129,0.974805,0.091389,0.08132500000000001,0,0.054039,0.49655000000000005,0.881656
Plastikman,Spastik,0.000948,0.800381,0.936431,0.132591,0.06718125,1,0.058402,0.6054222222222222,0.550681
New Order,Blue Monday,0.000412,0.613229,0.92719,0.830707,0.0772875,1,0.042357,0.6143444444444444,0.266252
Skrillex,Scary Monsters And Nice Sprites,0.014014,0.532104,0.865621,0.168545,0.0776125,0,0.101395,0.6669166666666666,0.45944
Marshall Jefferson,Move Your Body,0.048359,0.76564,0.917413,0.772109,0.08941875,0,0.107177,0.5683555555555556,0.66502
Stardust,Music Sounds Better With You,0.001415,0.703969,0.27375,0.126447,0.003224999999999989,1,0.198961,0.5762499999999999,0.366513
Paperclip People,Throw,0.000918,0.80557,0.542486,0.09189,0.0786,0,0.078609,0.5945944444444444,0.079483
Inner City,Big Fun,0.025317,0.660698,0.985679,0.070995,0.090325,0,0.053715,0.5562277777777778,0.966746
Underworld,Born Slippy - NUXX,0.012343,0.336792,0.968006,0.08423,0.07791250000000001,1,0.09198,0.6707833333333334,0.221542
Second Phase,Mentasm,0.001234,0.699777,0.835855,0.055578,0.075675,1,0.065686,0.6115166666666667,0.617032
Cybotron,Clear,0.016315,0.860325,0.662775,0.318725,0.05175,0,0.07903,0.5841000000000001,0.304452
Hardrive,Deep Inside,0.001609,0.683193,0.71855,0.098583,0.07568749999999999,1,0.056716,0.581438888888889,0.070061
Orbital,Chime,8.9e-05,0.600725,0.982429,0.212417,0.08839375000000001,1,0.042561,0.6499944444444444,0.319999
Rhythim Is Rhythim,Strings Of Life,0.5182,0.52668,0.719325,0.087439,0.03503125,1,0.036094,0.6039555555555555,0.673818
Louis Armstrong,What a Wonderful World,0.946322,0.528854,0.39888,0.157624,0.0764875,1,0.030393,0.4901055555555555,0.79664
Dave Brubeck,Take Five,0.507967,0.431001,0.359099,0.041504,0.04638125,0,0.052109,0.8353166666666667,0.772015
John Coltrane,A Love Supreme Part I: Acknowledgement,0.479193,0.390066,0.556806,0.342416,0.0477375,0,0.074617,0.5597555555555556,0.466568
Dave Brubeck,My Favorite Things,0.678106,0.455431,0.244176,0.086709,-0.0049687500000000105,0,0.033908,0.4953666666666666,0.475601
Kenny Burrell,All Blues,0.963695,0.528955,0.259723,0.113063,0.011206249999999996,1,0.036165,0.48742222222222226,0.180772
Maynard Ferguson,Birdland,0.025441,0.631792,0.775812,0.084624,0.06039375,1,0.05729,0.8127,0.90049
Nina Simone,Strange Fruit,0.823075,0.265292,0.239735,0.115916,0.049887499999999994,0,0.039344,0.42906111111111106,0.054066
Miles Davis,So What,0.579356,0.421815,0.466749,0.195995,0.024512500000000003,1,0.050088,0.6244333333333333,0.637722
Hermao Feriera,Song For My Father,0.657827,0.715766,0.244264,0.09308,-0.01579999999999999,0,0.043538,0.6664222222222221,0.92317
Benny Goodman,Sing Sing Sing,0.941749,0.63724,0.86238,0.114067,0.08602499999999999,0,0.064918,0.5026222222222222,0.244619
Nina Simone,Feeling Good,0.744332,0.434727,0.371022,0.46558,0.060131250000000004,0,0.034337,0.32502777777777775,0.593755
Amy Winehouse,You Know I'm No Good,0.039962,0.704902,0.800754,0.129009,0.10136875000000001,1,0.031528,0.4615777777777778,0.680844
Marian McPartland,My Funny Valentine,0.96811,0.407861,0.100027,0.093979,0.050275,0,0.033057,0.6757277777777778,0.186429
Gladys Knight,Since I Fell For You,0.775969,0.31786,0.198038,0.119898,0.051506249999999996,1,0.046542,0.25406111111111107,0.15511
Dave Brubeck,Take the 'A' Train,0.582316,0.479153,0.709085,0.662799,0.057999999999999996,1,0.059744,0.6079777777777778,0.555598
Johnny Hartman,Lush Life,0.941949,0.461878,0.098622,0.173229,0.0018437500000000107,0,0.052231,0.5143833333333333,0.190105
Billie Holiday,God Bless the Child,0.962812,0.584009,0.617321,0.46926,0.08423125000000001,0,0.367376,0.6280055555555555,0.552804
Ella Fitzgerald,How High the Moon,0.885629,0.557813,0.358164,0.074336,0.039218750000000004,0,0.059257,0.5131666666666667,0.632918
Etta James,At Last,0.617898,0.170636,0.272009,0.230924,0.049525,1,0.032206,0.8542,0.277885
Peggy Lee,Fever,0.18183,0.78543,0.15794,0.127301,0.054081250000000004,1,0.079538,0.6535,0.554291
Mariah Carey,Fantasy,0.104307,0.649119,0.733898,0.11125,0.078725,1,0.038675,0.45749999999999996,0.820094
Usher,Climax,0.503941,0.652938,0.48106,0.171046,0.0691625,1,0.080581,0.6439944444444445,0.371112
Ghost Town DJ's,My Boo,0.000314,0.840349,0.594258,0.189503,0.08554999999999999,0,0.053603,0.61155,0.634965
Erykah Badu,On & On,0.056797,0.758206,0.491404,0.375587,0.07121875,0,0.140768,0.3355166666666667,0.326806
Adina Howard,Freak Like Me,0.027061,0.630467,0.819158,0.075979,0.08655625,0,0.108987,0.39413888888888887,0.675485
Miguel,Adorn,0.137173,0.559591,0.603488,0.113865,0.09245,1,0.270665,0.8837944444444444,0.207714
Lumidee,NEVER LEAVE YOU (Remix),0.602587,0.894627,0.268537,0.083857,0.012024999999999997,1,0.519151,0.6291222222222221,0.764599
Next,Too Close,0.012214,0.849531,0.377461,0.189342,0.05973125,0,0.100924,0.43987777777777776,0.810825
Mary J. Blige,Real Love,0.010511,0.621095,0.898535,0.76951,0.07873749999999999,1,0.129071,0.4247944444444444,0.501448
Kelis,Milkshake,0.389069,0.959763,0.822053,0.157365,0.08078125,1,0.139975,0.5442277777777778,0.804083
Ms. Lauryn Hill,Doo Wop,0.010629,0.744452,0.765385,0.525082,0.08996875,1,0.209421,0.4440388888888889,0.584397
Destiny's Child,Survivor,0.08975,0.581055,0.863447,0.301551,0.1121875,1,0.26441,0.7835833333333333,0.683802
Montell Jordan,This Is How We Do It,0.011394,0.806133,0.67419,0.622322,0.079925,1,0.085308,0.46485,0.7371
Aaliyah,Are You That Somebody,0.160639,0.852277,0.657793,0.099923,0.0806,0,0.1721,0.6554777777777777,0.830529
D'Angelo,Untitled (How Does It Feel),0.193144,0.807087,0.344478,0.11288,0.0673375,0,0.05509,0.5145333333333333,0.276951
TLC,Waterfalls,0.276491,0.809742,0.606413,0.271805,0.084225,0,0.0812,0.3746833333333333,0.778947
Ginuwine,Pony,0.003083,0.756544,0.608647,0.115187,0.07426875,0,0.1206,0.6778444444444445,0.957302
R. Kelly,Bump N' Grind,0.09127,0.673646,0.492318,0.236347,0.0799125,1,0.034175,0.6120611111111111,0.686126
Bell Biv DeVoe,Poison,0.001554,0.820954,0.532571,0.637084,0.053581250000000004,0,0.19844,0.5103777777777777,0.796087
Blackstreet,No Diggity,0.33207,0.701059,0.670837,0.099239,0.09363125,0,0.378472,0.8739111111111111,0.677642
BACH,"Suite No. 1 in G Major, BWV 1007: IV. Sarabande",0.935573,0.203594,0.195734,0.226307,0.014074999999999994,1,0.041246,0.4744888888888889,0.258422
Beethoven Consort,Beethoven : Symphony No. 5,0.890643,0.239452,0.111005,0.367588,0.025612500000000003,1,0.03643,0.6806277777777778,0.286565
Franz Schubert,"Du bist die Ruh, Op. 59 No. 3, D. 776",0.90215,0.205821,0.071786,0.133054,0.0211125,1,0.03541,0.6470444444444444,0.126169
Johannes Brahms,"Piano Quartet No. 1 in G Minor, Op. 25: III. Andante con moto - Animato", Op. 25,0.961074,0.167328,0.077507,0.115131,0.00078125,1,0.040389,0.3232055555555556,0.056586
Beethoven & DSI,Moonlight Sonata,0.063799,0.659433,0.588198,0.128143,0.058675,0,0.038046,0.6000444444444445,0.25573
Bizet,"Seguidiglla From The Opera ""Carmen""",0.811472,0.368032,0.225576,0.131913,-0.014293749999999994,1,0.042378,0.4889777777777778,0.19194
Richard Strauss,"Also sprach Zarathustra, Op.30",0.917843,0.109018,0.113273,0.087557,-0.0033687500000000093,1,0.039289,0.3895611111111111,0.036699
Sergei Rachmaninoff,"Piano Concerto No. 2 in C Minor, Op. 18",0.980306,0.165748,0.268826,0.421292,0.0320375,1,0.038076,0.20407777777777777,0.057925
Aaron Copland,Appalachian Spring,0.951829,0.170276,0.068923,0.071753,-0.008831250000000002,1,0.048291,0.2477,0.05768
Ann Southam,Glass Houses No. 11,0.99318,0.297329,0.185899,0.108017,-0.008562500000000006,1,0.040676,0.42978333333333335,0.263965
Johann Sebastian Bach,Toccata and Fugue in D Minor,0.810756,0.159929,0.094964,0.172233,-0.015037499999999992,0,0.035776,0.4528611111111111,0.109038
Ravel,Bolero,0.908509,0.372745,0.149405,0.088908,0.012693749999999993,1,0.037296,0.2599388888888889,0.242934
Wolfgang Amadeus Mozart,Eine Kleine Nachtmusik,0.87222,0.236392,0.031236,0.082209,-0.03781874999999999,1,0.048608,0.28937777777777773,0.119023
Carl Orff,O Fortuna (Carmina Burana),0.967439,0.336204,0.243212,0.29045,0.034231250000000005,1,0.033988,0.6613944444444444,0.141868
Richard Wagner,The Ride Of The Valkyries,0.907027,0.283304,0.351131,0.113705,0.016293749999999996,1,0.037406,0.4079333333333333,0.148421
Ludwig van Beethoven,Ode to Joy (Instrumental),0.978749,0.34694,0.300484,0.206546,0.063,1,0.034298,0.3129,0.442198
Antonio Vivaldi,"Spring, Largo",0.959765,0.236043,0.142577,0.197318,0.0034812499999999913,0,0.038055,0.38734999999999997,0.076951
Johann Pachelbel,Canon in D major,0.868081,0.514195,0.195567,0.240322,-0.002993749999999995,1,0.033546,0.3333888888888889,0.518632
Rossini,William Tell Overture,0.76524,0.399154,0.596493,0.224438,0.05184999999999999,1,0.043318,0.3451388888888889,0.47065
Charles Gounod,Ave Maria,0.988949,0.069315,0.107898,0.137372,-0.040325000000000014,1,0.043359,0.29381666666666667,0.104389