Hozier,Take Me To Church,801,3
Ed Sheeran,Thinking Out Loud,798,4
Maroon 5,Sugar,789,2
Arctic Monkeys,Do I Wanna Know?,777,2
Tove Lo,Talking Body,777,4
Ed Sheeran,Photograph,776,3
Sia,Elastic Heart,775,2
Sia,Chandelier,770,1
Vance Joy,Riptide,764,0
James Bay,Hold Back The River,759,0
Imagine Dragons,Radioactive,756,1
Ariana Grande,One Last Time,756,0
Sam Smith,Stay With Me,754,1
George Ezra,Budapest,752,0
Sam Smith,I'm Not The Only One,748,0
Foster the People,Pumped Up Kicks,743,2
Passenger,Let Her Go,743,3
Lorde,Royals,742,2
Taylor Swift,Shake It Off,741,2
Clean Bandit,Rather Be,741,0
Flo Rida,GDFR,741,4
OneRepublic,Counting Stars,739,1
Echosmith,Cool Kids,737,4
Bastille,Pompeii,736,0
Imagine Dragons,Demons,734,1
Coldplay,A Sky Full of Stars,733,3
John Legend,All of Me,732,0
Meghan Trainor,All About That Bass,732,2
Nicki Minaj,The Night Is Still Young,731,4
Sheppard,Geronimo,729,4
Hozier,Someone New,727,3
Avicii,The Nights,726,2
Katy Perry,Roar,725,1
Tove Lo,Habits (Stay High),725,1
Avicii,Wake Me Up,724,2
Nirvana,Smells Like Teen Spirit,723,4
Calvin Harris,Summer,722,2
Maroon 5,Animals,721,4
Echosmith,Bright,720,2
Andy Grammer,"Honey, I'm Good",718,3
Adele,Rolling In The Deep,716,4
Oasis,Wonderwall,716,4
Lana Del Rey,Summertime Sadness,716,4
Ariana Grande,Love Me Harder,715,3
Mark Ronson,Uptown Funk,715,0
Walk the Moon,Shut up and Dance,712,3
Jason Mraz,I'm Yours,712,0
AWOLNATION,Sail,712,4
Meghan Trainor,Dear Future Husband,710,1
Coldplay,Fix You,710,3
The Lumineers,Ho Hey,710,0
Eagles,Hotel California,708,2
Gotye,Somebody That I Used To Know,706,3
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),706,3
Omi,Cheerleader - Felix Jaehn Remix Radio Edit,703,1
Of Monsters and Men,Little Talks,703,0
Capital Cities,Safe And Sound,702,0
Ed Sheeran,I See Fire,702,2
James Bay,Let It Go,702,2
Rihanna,Diamonds,700,4
Nico & Vinz,Am I Wrong,700,3
Bruno Mars,Locked Out Of Heaven,699,0
David Guetta,Dangerous,696,2
Imagine Dragons,I Bet My Life,694,2
ALTJ,Breezeblocks,694,3
Fetty Wap,Trap Queen,694,3
Sam Smith,Lay Me Down,693,0
Fall Out Boy,Centuries,693,0
Arctic Monkeys,R U Mine?,690,0
Kings of Leon,Sex On Fire,690,0
Lorde,Team,689,1
Avicii,Hey Brother,689,0
Sia,Big Girls Cry,689,4
Queen,Bohemian Rhapsody,689,2
Led Zeppelin,Stairway To Heaven,686,2
The Killers,Mr. Brightside,685,4
Kygo,Firestone,685,2
Jamie XX,Sleep Sound,684,1
M83,Midnight City,683,1
Imagine Dragons,On Top Of The World,683,3
Coldplay,The Scientist,681,0
Lana Del Rey,Young And Beautiful,680,4
Robin Thicke,Blurred Lines,679,2
Charli XCX,Boom Clap,678,0
Foo Fighters,Learn To Fly,678,0
Carly Rae Jepsen,Call Me Maybe,678,3
Survivor,Eye of the Tiger,677,4
Wolf Alice,Bros,676,3
Gorillaz,Feel Good Inc,676,0
Omarion,Post To Be (feat. Chris Brown & Jhene Aiko),676,1
Coldplay,Viva La Vida,676,2
Journey,Don't Stop Believin',676,2
Katy Perry,Dark Horse,675,2
A Great Big World,Say Something,675,3
Ella Henderson,Ghost,674,1
Red Hot Chili Peppers,Californication,673,3
First Aid Kit,My Silver Lining,672,4
Coldplay,Yellow,672,3
Jamie XX,Girl,672,0
Nirvana,Come As You Are,672,4